### Free memory before the run :###
              total        used        free      shared  buff/cache   available
Mem:          251Gi        20Gi        65Gi       205Mi       165Gi       229Gi
Swap:         2.0Gi       153Mi       1.8Gi
# Database,Tag,Query,Min,Max,Average
SF-10,default,01,2.058946712,2.058946712,2.0589
SF-10,default,02,2.195611030,2.195611030,2.1956
SF-10,default,03,1.133908245,1.133908245,1.1339
SF-10,default,04,.615168484,.615168484,.6151
SF-10,default,05,1.154679349,1.154679349,1.1546
SF-10,default,06,.513653841,.513653841,.5136
SF-10,default,07,1.062443514,1.062443514,1.0624
SF-10,default,08,1.257652905,1.257652905,1.2576
SF-10,default,09,.914811015,.914811015,.9148
SF-10,default,10,1.105809726,1.105809726,1.1058
SF-10,default,11,.579950135,.579950135,.5799
SF-10,default,12,.880688719,.880688719,.8806
SF-10,default,13,3.440310107,3.440310107,3.4403
SF-10,default,14,.564601993,.564601993,.5646
SF-10,default,15,.685521714,.685521714,.6855
SF-10,default,16,1.503807982,1.503807982,1.5038
SF-10,default,17,.777767950,.777767950,.7777
SF-10,default,18,7.489405262,7.489405262,7.4894
SF-10,default,19,1.351601588,1.351601588,1.3516
SF-10,default,20,1.130097321,1.130097321,1.1300
SF-10,default,21,16.424439393,16.424439393,16.4244
SF-10,default,22,1.738613276,1.738613276,1.7386
### Free memory before the run :###
              total        used        free      shared  buff/cache   available
Mem:          251Gi        21Gi        16Gi       211Mi       213Gi       227Gi
Swap:            0B          0B          0B
# Database,Tag,Query,Min,Max,Average
SF-10,default,01,.132499302,.132499302,.1324
SF-10,default,02,.106831127,.106831127,.1068
SF-10,default,03,.110991828,.110991828,.1109
SF-10,default,04,.110307847,.110307847,.1103
SF-10,default,05,.108168245,.108168245,.1081
SF-10,default,06,.110743274,.110743274,.1107
SF-10,default,07,.113786539,.113786539,.1137
SF-10,default,08,.105494999,.105494999,.1054
SF-10,default,09,.105919935,.105919935,.1059
SF-10,default,10,.106802567,.106802567,.1068
SF-10,default,11,.113341664,.113341664,.1133
SF-10,default,12,.113439459,.113439459,.1134
SF-10,default,13,.109338985,.109338985,.1093
SF-10,default,14,.105433272,.105433272,.1054
SF-10,default,15,.111328029,.111328029,.1113
SF-10,default,16,.109881947,.109881947,.1098
SF-10,default,17,.108379264,.108379264,.1083
SF-10,default,18,.106773799,.106773799,.1067
SF-10,default,19,.109483514,.109483514,.1094
SF-10,default,20,.111045745,.111045745,.1110
SF-10,default,21,.107637824,.107637824,.1076
SF-10,default,22,.111553438,.111553438,.1115
