### Free memory before the run :###
              total        used        free      shared  buff/cache   available
Mem:          251Gi        51Gi        22Gi       301Mi       177Gi       197Gi
Swap:            0B          0B          0B
# Database,Tag,Query,Min,Max,Average
SF-100,default,01,44.016905344,44.016905344,44.0169
SF-100,default,02,11.825365447,11.825365447,11.8253
SF-100,default,03,16.810289844,16.810289844,16.8102
SF-100,default,04,5.970402063,5.970402063,5.9704
SF-100,default,05,5.264057039,5.264057039,5.2640
SF-100,default,06,.575595547,.575595547,.5755
SF-100,default,07,2.293213940,2.293213940,2.2932
SF-100,default,08,5.239149723,5.239149723,5.2391
SF-100,default,09,13.317873445,13.317873445,13.3178
SF-100,default,10,18.038300234,18.038300234,18.0383
SF-100,default,11,4.398462019,4.398462019,4.3984
SF-100,default,12,1.142653247,1.142653247,1.1426
SF-100,default,13,108.460501166,108.460501166,108.4605
SF-100,default,14,2.225147130,2.225147130,2.2251
SF-100,default,15,4.690593262,4.690593262,4.6905
SF-100,default,16,8.265481657,8.265481657,8.2654
SF-100,default,17,2.862597185,2.862597185,2.8625
SF-100,default,18,40.466623603,40.466623603,40.4666
SF-100,default,19,1.823099440,1.823099440,1.8230
SF-100,default,20,2.615983954,2.615983954,2.6159
SF-100,default,21,18.210157504,18.210157504,18.2101
SF-100,default,22,13.787659927,13.787659927,13.7876
